Time,Accel
4.98,-1.002678E-03
4.985,-5.620586E-04
4.99,-7.837449E-05
4.995,4.191461E-04
5,9.404322E-04
5.005,1.419152E-03
5.01,1.769816E-03
5.015,1.969670E-03
5.02,2.048864E-03
5.025,1.996457E-03
5.03,1.744976E-03
5.035,1.257202E-03
5.04,6.648885E-04
5.045,1.315686E-04
5.05,-3.370351E-04
5.055,-7.908924E-04
5.06,-1.182269E-03
5.065,-1.429304E-03
5.07,-1.507394E-03
5.075,-1.488904E-03
5.08,-1.438370E-03
5.085,-1.295895E-03
5.09,-9.950025E-04
5.095,-5.888639E-04
5.1,-2.008539E-04
5.105,1.516700E-04
5.11,4.471844E-04
5.115,6.843651E-04
5.12,9.081477E-04
5.125,1.145714E-03
5.13,1.361980E-03
5.135,1.460386E-03
5.14,1.386191E-03
5.145,1.179688E-03
5.15,9.916252E-04
5.155,8.994655E-04
5.16,8.016264E-04
5.165,6.095347E-04
5.17,4.384891E-04
5.175,4.405764E-04
5.18,5.761280E-04
5.185,7.296332E-04
5.19,8.630022E-04
5.195,9.707691E-04
5.2,1.091908E-03
5.205,1.251933E-03
5.21,1.477253E-03
5.215,1.662749E-03
5.22,1.611317E-03
5.225,1.312322E-03
5.23,9.395853E-04
5.235,5.739634E-04
5.24,1.851193E-04
5.245,-2.428074E-04
5.25,-7.664253E-04
5.255,-1.327188E-03
5.26,-1.826661E-03
5.265,-2.307257E-03
5.27,-2.730133E-03
5.275,-2.998315E-03
5.28,-3.020548E-03
5.285,-2.785128E-03
5.29,-2.372410E-03
5.295,-1.860350E-03
5.3,-1.374401E-03
5.305,-9.569855E-04
5.31,-4.801117E-04
5.315,1.460757E-04
5.32,9.054214E-04
5.325,1.713431E-03
5.33,2.444204E-03
5.335,2.904102E-03
5.34,3.083552E-03
5.345,3.177374E-03
5.35,3.275723E-03
5.355,3.275531E-03
5.36,3.076824E-03
5.365,2.760776E-03
5.37,2.444087E-03
5.375,2.146358E-03
5.38,1.765778E-03
5.385,1.288671E-03
5.39,8.441099E-04
5.395,4.908360E-04
5.4,1.360180E-04
5.405,-4.145683E-04
5.41,-1.174911E-03
5.415,-2.030591E-03
5.42,-2.902364E-03
5.425,-3.660929E-03
5.43,-4.112622E-03
5.435,-4.244253E-03
5.44,-4.144455E-03
5.445,-3.883113E-03
5.45,-3.612305E-03
5.455,-3.448867E-03
5.46,-3.353880E-03
5.465,-3.173726E-03
5.47,-2.745679E-03
5.475,-1.994433E-03
5.48,-9.878642E-04
5.485,1.389264E-04
5.49,1.223821E-03
5.495,2.185559E-03
5.5,3.030658E-03
5.505,3.796870E-03
5.51,4.479047E-03
5.515,4.978712E-03
5.52,5.194907E-03
5.525,5.104177E-03
5.53,4.861651E-03
5.535,4.632651E-03
5.54,4.350155E-03
5.545,3.868299E-03
5.55,3.192058E-03
5.555,2.444933E-03
5.56,1.664160E-03
5.565,8.199694E-04
5.57,-2.094107E-05
5.575,-7.449315E-04
5.58,-1.411094E-03
5.585,-1.981705E-03
5.59,-2.310058E-03
5.595,-2.442002E-03
5.6,-2.512937E-03
5.605,-2.530368E-03
5.61,-2.487196E-03
5.615,-2.439821E-03
5.62,-2.313227E-03
5.625,-1.998249E-03
5.63,-1.474289E-03
5.635,-8.488725E-04
5.64,-2.561846E-04
5.645,2.641605E-04
5.65,7.312986E-04
5.655,1.230605E-03
5.66,1.829362E-03
5.665,2.517481E-03
5.67,3.175436E-03
5.675,3.619496E-03
5.68,3.788999E-03
5.685,3.898778E-03
5.69,4.223522E-03
5.695,4.770476E-03
5.7,5.319736E-03
5.705,5.800585E-03
5.71,6.226993E-03
5.715,6.383131E-03
5.72,6.001378E-03
5.725,5.055719E-03
5.73,3.704086E-03
5.735,2.126624E-03
